Category,Gender,Name,Origin,Meaning,Name Length,First Letter
nothing,Male,Bem,African---Nigerian,Peace,3,B
Birth Order,Male,Boseda,African---Nigerian,Born on Sunday,6,B
God,Male,Chi,African---Nigerian,"God, angel",3,C
God,Male,Chinese,African---Nigerian,God protects,7,C
nothing,Male,Chinua,African---Nigerian,Blessings of God,6,C
God,Male,Chioke,African---Nigerian,Gift from God,6,C
nothing,Male,Chuioke,African---Nigerian,Talented,7,C
nothing,Male,Dada,African---Nigerian,Curly-haired child,4,D
Birth Order,Male,Daren,African---Nigerian,Born at night,5,D
nothing,Male,Dumaka,African---Nigerian,Help,6,D
nothing,Male,Ehioze,African---Nigerian,Not jealous,6,E
nothing,Male,Ekon,African---Nigerian,Strong,4,E
God,Male,Foluke,African---Nigerian,Placed in God's hands,6,F
nothing,Male,Gowon,African---Nigerian,Rain maker,5,G
nothing,Male,Ilom,African---Nigerian,I have enemies,4,I
nothing,Male,Imarogbe,African---Nigerian,Born to a good family,8,I
Time,Male,Iniko,African---Nigerian,Hard  times,5,I
nothing,Male,Iyapo,African---Nigerian,Trial,5,I
Virtues,Male,Jaja,African---Nigerian,Honor,4,J
Love,Male,Jumoke,African---Nigerian,Beloved child,6,J
God,Male,Kalechi,African---Nigerian,Praise to God,7,K
nothing,Male,Kayin,African---Nigerian,Famous,5,K
nothing,Male,Kayode,African---Nigerian,Brings joy,6,K
Birth Order,Male,Kehind,African---Nigerian,Second of twins,6,K
nothing,Male,Kosoko,African---Nigerian,Without hoe,6,K
nothing,Male,Madu,African---Nigerian,People,4,M
nothing,Male,Mazi,African---Nigerian,Sir,4,M
nothing,Male,Mongo,African---Nigerian,Famous,5,M
nothing,Male,Ndulu,African---Nigerian,"Dove, bird",5,N
nothing,Male,Ngozi,African---Nigerian,"Good luck, blessing",5,N
Family relations,Male,Nnamdi,African---Nigerian,My father's name lives on,6,N
nothing,Male,Nwa,African---Nigerian,Son,3,N
Strength and Power,Male,Nwabudike,African---Nigerian,"The son is powerful, strong",9,N
nothing,Male,Nwake,African---Nigerian,Born on market day,5,N
Leadership and Royalty,Male,Oba,African---Nigerian,"King, ruler",3,O
God,Male,Obasi,African---Nigerian,Honoring God,5,O
nothing,Male,Obataiye,African---Nigerian,King of the world,8,O
nothing,Male,Obayana,African---Nigerian,King warms himself at the fire,7,O
nothing,Male,Obi,African---Nigerian,Heart,3,O
Family relations,Male,Obike,African---Nigerian,A strong family,5,O
Birth Order,Male,Ode,African---Nigerian,Born while travelling,3,O
Birth Order,Male,Odion,African---Nigerian,First of twins,5,O
Strength and Power,Male,Ogun,African---Nigerian,War god,4,O
God,Male,Okechuku,African---Nigerian,Gift from God,8,O
Strength and Power,Male,Oko,African---Nigerian,"Ogun, god of war",3,O
Birth Order,Male,Okpara,African---Nigerian,First born son,6,O
nothing,Male,Oladele,African---Nigerian,We are honored at home,7,O
nothing,Male,Olafemi,African---Nigerian,"Lucky, fortunate",7,O
nothing,Male,Olaniyan,African---Nigerian,"Surrounded by honor, glory",8,O
God,Male,Olorun,African---Nigerian,? (Nigerian god),6,O
nothing,Male,Olubayo,African---Nigerian,"Joy, happiness",7,O
Love,Male,Olufemi,African---Nigerian,God loves me,7,O
God,Male,Olugbala,African---Nigerian,God of the people,8,O
God,Male,Oluhyode,African---Nigerian,God makes me happy,8,O
God,Male,Olujimi,African---Nigerian,Given by God,7,O
God,Male,Olumide,African---Nigerian,God arrives,7,O
God,Male,Olumoi,African---Nigerian,God awakens,6,O
God,Male,Olushegun,African---Nigerian,God is champion,9,O
nothing,Male,Olushola,African---Nigerian,Blessed by God,8,O
God,Male,Oluwa,African---Nigerian,Our God,5,O
nothing,Male,Oluyemi,African---Nigerian,Satisfied,7,O
God,Male,Onwoachi,African---Nigerian,God's world,8,O
nothing,Male,Orji,African---Nigerian,Sturdy tree,4,O
nothing,Male,Orunjan,African---Nigerian,Born under the noon sun,7,O
God,Male,Osakwe,African---Nigerian,God agrees,6,O
God,Male,Osanmwesr,African---Nigerian,God made me complete,9,O
God,Male,Osayaba,African---Nigerian,God forgives,7,O
nothing,Male,Ottah,African---Nigerian,"Thin, skinny baby",5,O
Birth Order,Male,Taiwo,African---Nigerian,First born twin,5,T
Leadership and Royalty,Male,Tor,African---Nigerian,"Leader, ruler",3,T
God,Male,Uchechi,African---Nigerian,God's will,7,U
Nature,Male,Ugo,African---Nigerian,"Eagle, bird",3,U
Birth Order,Male,Uzoma,African---Nigerian,Born on a trip,5,U
nothing,Male,Essien,African---Ochi,Sixth child,6,E
Birth Order,Male,Kacancu,African---Rukonjo,First born child,7,K
God,Male,Kaikara,African---Runyoro,A god,7,K
Love,Male,Gonza,African---Rutooro,Love,5,G
Birth Order,Male,Kabiito,African---Rutooro,Born when foreigners visited,7,K
nothing,Male,Kabonesa,African---Rutooro,Child of a difficult birth,8,K
nothing,Male,Gahuj,African---Rwandan,Hunter,5,G
God,Male,Habimana,African---Rwandan,God exists,8,H
God,Male,Hakiziana,African---Rwandan,God saves,9,H
nothing,Male,Abasi,African---Swahili,Stern,5,A
Birth Order,Male,Ashon,African---Swahili,Seventh born child,5,A
nothing,Male,Bakari,African---Swahili,Promise,6,B
nothing,Male,Chui,African---Swahili,Leopard,4,C
nothing,Male,Darweshi,African---Swahili,Devout,8,D
Love,Male,Daudi,African---Swahili,"Beloved, dear",5,D
Strength and Power,Male,Enzi,African---Swahili,"Powerful, strong",4,E
nothing,Male,Faraji,African---Swahili,Consolation,6,F
Birth Order,Male,Hajj,African---Swahili,Born during the pilgrimage to Mecca,4,H
Birth Order,Male,Hamisi,African---Swahili,Born on Thursday,6,H
nothing,Male,Hasant,African---Swahili,Handsome,6,H
nothing,Male,Husani,African---Swahili,Handsome,6,H
nothing,Male,Idi,African---Swahili,Born during the Idd festival,3,I
nothing,Male,Issa,African---Swahili,"Protector, guard",4,I
Strength and Power,Male,Jaali,African---Swahili,"Powerful, strong",5,J
Virtues,Male,Jabari,African---Swahili,"Valiant, fearless",6,J
nothing,Male,Jahi,African---Swahili,Dignity,4,J
Strength and Power,Male,Jelani,African---Swahili,"Mighty, strong",6,J
Birth Order,Male,Jimoh,African---Swahili,Born on Friday,5,J
Birth Order,Male,Jumaane,African---Swahili,Born on Tuesday,7,J
Birth Order,Male,Jumah,African---Swahili,Born on Friday,5,J
Nature,Male,Kanu,African---Swahili,Wild cat,4,K
nothing,Male,Khalfani,African---Swahili,Born to lead,8,K
Birth Order,Male,Khamisi,African---Swahili,Born on Thursday,7,K
nothing,Male,Kifimbo,African---Swahili,A twig,7,K
nothing,Male,Kito,African---Swahili,"Jewel, gem",4,K
nothing,Male,Kitwana,African---Swahili,Pledged to live,7,K
nothing,Male,Kondo,African---Swahili,War,5,K
nothing,Male,Kosey,African---Swahili,Lion,5,K
nothing,Male,Machupa,African---Swahili,One who likes to drink,7,M
Leadership and Royalty,Male,Mbwana,African---Swahili,"Master, lord",6,M
nothing,Male,Mhina,African---Swahili,"Delightful, wonderful",5,M
Birth Order,Male,Mosi,African---Swahili,First born,4,M
nothing,Male,Musa,African---Swahili,Child,4,M
nothing,Male,Nuru,African---Swahili,Light of day,4,N
nothing,Male,Okapi,African---Swahili,Name of a gazelle-like animal,5,O
Birth Order,Male,Pili,African---Swahili,Second born child,4,P
nothing,Male,Rashidi,African---Swahili,Good advice,7,R
Birth Order,Male,Rhamadhani,African---Swahili,Born during Ramadan,10,R
nothing,Male,Sadiki,African---Swahili,"Faithful, loyal",6,S
nothing,Male,Saeed,African---Swahili,"Happy, joyful",5,S
nothing,Male,Saka,African---Swahili,Hunter,4,S
nothing,Male,Salene,African---Swahili,Good,6,S
nothing,Male,Sallu,African---Swahili,"Safe, secure",5,S
nothing,Male,Sefu,African---Swahili,"Sword, blade",4,S
nothing,Male,Simba,African---Swahili,Lion,5,S
nothing,Male,Sudi,African---Swahili,"Luck, fortune",4,S
nothing,Male,Tambo,African---Swahili,"Vigorous, energetic",5,T
Strength and Power,Male,Tembo,African---Swahili,Elephant,5,T
nothing,Male,Yazid,African---Swahili,"To increase, grow",5,Y
nothing,Male,Zuberi,African---Swahili,Strong,6,Z
God,Male,Adwele,African---Tanzanian,God brings me,6,A
God,Male,Ambonisye,African---Tanzanian,God rewards me,9,A
nothing,Male,Ipyana,African---Tanzanian,Grace,6,I
nothing,Male,Mwamba,African---Tanzanian,Strong,6,M
nothing,Male,Akiiki,African---Ugandan,Friend,6,A
nothing,Male,Gwandoya,African---Ugandan,Miserable,8,G
nothing,Male,Kiho,African---Ugandan,Fog,4,K
Birth Order,Male,Kizza,African---Ugandan,Born after twins,5,K
Strength and Power,Male,Lutalo,African---Ugandan,"Warrior, fighter",6,L
nothing,Male,Munyiga,African---Ugandan,Nest,7,M
Birth Order,Male,Naija,African---Ugandan,Next-born,5,N
Birth Order,Male,Najji,African---Ugandan,Second born child,5,N
nothing,Male,Nakisisa,African---Ugandan,Child of the shadows,8,N
Strength and Power,Male,Ojore,African---Ugandan,"Soldier, warrior",5,O
Birth Order,Male,Okello,African---Ugandan,Born after twins,6,O
Birth Order,Male,Okoth,African---Ugandan,Born during a rainstorm,5,O
Birth Order,Male,Zesiro,African---Ugandan,First born twin,6,Z
nothing,Male,Aganju,African---Yoruban,Son of the Earth goddess Odudua,6,A
nothing,Male,Ajala,African---Yoruba,Pot maker,5,A
nothing,Male,Akins,African---Yoruba,Brave,5,A
nothing,Male,Ayinde,African---Yoruba,Given praise,6,A
nothing,Male,Jibade,African---Yoruban,Born near royalty,6,J
Emotions,Male,Katode,African---Yoruban,"Bringer of joy, happiness",6,K
nothing,Male,Kunle,African---Yoruban,Honorable home,5,K
nothing,Male,Nika,African---Yoruban,"Ferocious, angry",4,N
nothing,Male,Ojo,African---Yoruban,Child of a difficult birth,3,O
Strength and Power,Male,Olamina,African---Yoruban,"My wealth, riches",7,O
Strength and Power,Male,Soja,African---Yoruban,"Warrior, fighter",4,S
nothing,Male,Aganju,African---Yoruban,Son of the Earth goddess Odudua,6,A
nothing,Male,Jibade,African---Yoruban,Born near royalty,6,J
Emotions,Male,Katode,African---Yoruban,"Bringer of joy, happiness",6,K
nothing,Male,Kunle,African---Yoruban,Honorable home,5,K
nothing,Male,Nika,African---Yoruban,"Ferocious, angry",4,N
nothing,Male,Ojo,African---Yoruban,Child of a difficult birth,3,O
Strength and Power,Male,Olamina,African---Yoruban,"My wealth, riches",7,O
Strength and Power,Male,Soja,African---Yoruban,"Warrior, fighter",4,S
nothing,Male,Betserai,African---Zimbabwe,Help,8,B
Birth Order,Male,Chenzira,African---Zimbabwe,Born while travelling,8,C
nothing,Male,Chionesu,African---Zimbabwe,Protector,8,C
nothing,Male,Chuma,African---Zimbabwe,Bead,5,C
Emotions,Male,Dakarai,African---Zimbabwe,"Happiness, joy",7,D
Strength and Power,Male,Gamba,African---Zimbabwe,Warrior,5,G
nothing,Male,Garai,African---Zimbabwe,Settled,5,G
nothing,Male,Hondo,African---Zimbabwe,War,5,H
nothing,Male,Jabulani,African---Zimbabwe,Happy,8,J
nothing,Male,Kaseko,African---Zimbabwe,To tease,6,K
nothing,Male,Kokayi,African---Zimbabwe,"Call the people, bring together",6,K
Nature,Male,Marar,African---Zimbabwe,"Earth, dust",5,M
nothing,Male,Mashama,African---Zimbabwe,Surprise,7,M
nothing,Male,Matope,African---Zimbabwe,Last child,6,M
nothing,Male,Mudada,African---Zimbabwe,The provider,6,M
Love,Male,Rudo,African---Zimbabwe,Love,4,R
nothing,Male,Runako,African---Zimbabwe,Handsome,6,R
nothing,Male,Sekan,African---Zimbabwe,Laughter,5,S
nothing,Male,Ayize,African---Zulu,Let it come,5,A
Love,Male,Thandiwe,African---Zulu,Beloved,8,T
nothing,Male,Themba,African---Zulu,Hope,6,T
nothing,Male,Abadi,Arabic,"Eternal, lasting",5,A
nothing,Male,Abbas,Arabic,Stern,5,A
nothing,Male,Abda,Arabic,Servant,4,A
nothing,Male,Abdul,Arabic,Servant of,5,A
God,Male,Abid,Arabic,One who worships Allah,4,A
nothing,Male,Abu,Arabic,Father,3,A
nothing,Male,Adan,Arabic,One who pleases,4,A
nothing,Male,Adham,Arabic,Black,5,A
nothing,Male,Adil,Arabic,"Fair, just",4,A
nothing,Male,Adnan,Arabic,Pleasure,5,A
nothing,Male,Afif,Arabic,Chaste,4,A
nothing,Male,Ahmed,Arabic,Greatly praised,5,A
nothing,Male,Ahsan,Arabic,Compassion,5,A
nothing,Male,Akbar,Arabic,Great,5,A
nothing,Male,Akil,Arabic,"Bright, smart",4,A
nothing,Male,Akmal,Arabic,Perfect,5,A
nothing,Male,Ala,Arabic,"Superior, noble",3,A
nothing,Male,Aladdin,Arabic,Very faithful,7,A
nothing,Male,Alam,Arabic,Universe,4,A
nothing,Male,Alem,Arabic,Wise man,4,A
nothing,Male,Ali,Arabic,"Exalted, noble",3,A
nothing,Male,Alim,Arabic,"Learned, wise",4,A
nothing,Male,Altair,Arabic,Bird,6,A
nothing,Male,Amin,Arabic,"Trustworthy, loyal",4,A
nothing,Male,Amir,Arabic,Prince,4,A
nothing,Male,Amit,Arabic,Highly praised,4,A
nothing,Male,Amjad,Arabic,More gratifying,5,A
nothing,Male,Ammar,Arabic,Long life,5,A
nothing,Male,Amr,Arabic,Life,3,A
nothing,Male,Annur,Arabic,Light,5,A
nothing,Male,Anwar,Arabic,Rays of light,5,A
nothing,Male,Arafat,Arabic,Mountain of recognition,6,A
nothing,Male,Arif,Arabic,All knowing,4,A
nothing,Male,Asad,Arabic,"Luckier, more fortunate",4,A
nothing,Male,Asadel,Arabic,"Successful, prosperous",6,A
nothing,Male,Ashraf,Arabic,Nobler,6,A
nothing,Male,Asim,Arabic,Guardian,4,A
nothing,Male,Aswad,Arabic,"Black, dark",5,A
nothing,Male,Atiah,Arabic,Ready,5,A
Emotions,Male,Atif,Arabic,"Sympathy, empathy",4,A
Birth Order,Male,Awwal,Arabic,First born child,5,A
nothing,Male,Azad,Arabic,Free,4,A
nothing,Male,Azim,Arabic,Defender,4,A
nothing,Male,Azizi,Arabic,Precious,5,A
nothing,Male,Badar,Arabic,Full moon,5,B
Birth Order,Male,Badhur,Arabic,Born at the full moon,6,B
nothing,Male,Badr,Arabic,Full moon,4,B
God,Male,Badr Aldin,Arabic,Led by Allah,10,B
nothing,Male,Baha,Arabic,"Brilliant, magnificent",4,B
nothing,Male,Bahir,Arabic,"Luminous, brilliant",5,B
Emotions,Male,Bahjat,Arabic,Happiness,6,B
nothing,Male,Bais,Arabic,"Awake, aware",4,B
nothing,Male,Bakr,Arabic,Camel,4,B
nothing,Male,Basam,Arabic,Smiling,5,B
nothing,Male,Basim,Arabic,Smile,5,B
nothing,Male,Bilal,Arabic,Chosen one,5,B
nothing,Male,Borak,Arabic,The lightning,5,B
nothing,Male,Cadi,Arabic,"Lucky, fortunate",4,C
Virtues,Male,Cemal,Arabic,"Beauty, handsomeness",5,C
nothing,Male,Coman,Arabic,"Noble, well-born",5,C
Love,Male,Dawud,Arabic,"Beloved, dear",5,D
nothing,Male,Dekel,Arabic,Palm tree,5,D
nothing,Male,Diya,Arabic,Shining,4,D
nothing,Male,Diya Aldin,Arabic,Shining religion,10,D
Virtues,Male,Fadi,Arabic,"To save, redeem",4,F
Virtues,Male,Fadil,Arabic,Virtue,5,F
nothing,Male,Fadl,Arabic,Grace,4,F
Strength and Power,Male,Fahd,Arabic,"Panther, big cat",4,F
nothing,Male,Faisal,Arabic,"Resolute, determined",6,F
nothing,Male,Fakhr,Arabic,Glory,5,F
nothing,Male,Fakih,Arabic,"Intelligent, smart",5,F
nothing,Male,Faraj,Arabic,Cure,5,F
nothing,Male,Farid,Arabic,"Exceptional, unique",5,F
nothing,Male,Faris,Arabic,"Knight, warrior",5,F
nothing,Male,Farouk,Arabic,Discerning truth,6,F
nothing,Male,Fathi,Arabic,"Victor, winner",5,F
nothing,Male,Fawz,Arabic,Accomplished,4,F
nothing,Male,Fayiz,Arabic,Winner,5,F
nothing,Male,Fazl,Arabic,"Abundance, plenty",4,F
Birth Order,Male,Ferran,Arabic,Baker,6,F
nothing,Male,Fikri,Arabic,"Smart, intelligent",5,F
nothing,Male,Firas,Arabic,"Persistent, stubborn",5,F
nothing,Male,Fuad,Arabic,Heart,4,F
nothing,Male,Gadi,Arabic,Fortune,4,G
God,Male,Gadiel,Arabic,God is my fortune,6,G
nothing,Male,Gamal,Arabic,Camel,5,G
nothing,Male,Ghalib,Arabic,Defeat,6,G
nothing,Male,Ghassan,Arabic,"Youthful, young",7,G
nothing,Male,Ghayth,Arabic,Rain,6,G
Strength and Power,Male,Ghazi,Arabic,Conquering,5,G
Objects,Male,Gilad,Arabic,Hump of a camel,5,G
nothing,Male,Gulzar,Arabic,"Blooming, flowering",6,G
Love,Male,Habib,Arabic,Loved one,5,H
nothing,Male,Hadad,Arabic,Syrian god of virility; manly,5,H
nothing,Male,Hadi,Arabic,Guide,4,H
nothing,Male,Hafiz,Arabic,"Protector, guard",5,H
nothing,Male,Haidar,Arabic,Lion,6,H
nothing,Male,Hakim,Arabic,Wise,5,H
nothing,Male,Halil,Arabic,"Friend, ally",5,H
nothing,Male,Halim,Arabic,Gentle,5,H
nothing,Male,Hamadi,Arabic,Praised,6,H
nothing,Male,Hamal,Arabic,Lamb,5,H
God,Male,Hamid,Arabic,Thankful to God,5,H
Strength and Power,Male,Hamza,Arabic,"Powerful, mighty",5,H
Virtues,Male,Hanbal,Arabic,Purity,6,H
nothing,Male,Hani,Arabic,"Happy, joyful",4,H
nothing,Male,Hanif,Arabic,"Follower of Islam, believer",5,H
nothing,Male,Harath,Arabic,To provide,6,H
Strength and Power,Male,Harb,Arabic,"Warrior, fighter",4,H
nothing,Male,Harith,Arabic,Capable,6,H
Virtues,Male,Haroun,Arabic,"Noble, highborn",6,H
nothing,Male,Harun,Arabic,Praised highly,5,H
nothing,Male,Hasad,Arabic,Harvest,5,H
nothing,Male,Hashim,Arabic,Destroyer of evil,6,H
nothing,Male,Hasib,Arabic,Reckoner,5,H
nothing,Male,Hasim,Arabic,To determine,5,H
nothing,Male,Hassan,Arabic,Handsome,6,H
nothing,Male,Hatim,Arabic,To decide,5,H
nothing,Male,Haytham,Arabic,Proud,7,H
nothing,Male,Hibah,Arabic,Gift,5,H
nothing,Male,Hikmat,Arabic,Knowledge,6,H
nothing,Male,Hilal,Arabic,New moon,5,H
nothing,Male,Hisham,Arabic,"To break, snap",6,H
